chunk_id,entity_type,entity_name,entity_attributes,canonical_entity
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Object,lantern,{},lantern
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Bluebell,"{'name': None, 'gender': None, 'role': 'dog', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Bluebell
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Jessie,"{'name': None, 'gender': None, 'role': 'dog', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Jessie
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Pincher,"{'name': None, 'gender': None, 'role': 'dog', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Pincher
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Boxer,"{'name': None, 'gender': None, 'role': 'cart-horse', 'description': 'an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Clover,"{'name': None, 'gender': None, 'role': 'cart-horse', 'description': 'a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Clover
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Muriel,"{'name': None, 'gender': None, 'role': 'goat', 'description': 'the white goat', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Muriel
500dab47-96c0-42f8-b08f-1a2ffe1cad11,Person,Benjamin,"{'name': None, 'gender': None, 'role': 'donkey', 'description': 'the donkey', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Benjamin
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Boxer,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Location,paddock,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",paddock
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Location,orchard,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",orchard
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Clover,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Clover
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Object,ducklings,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",ducklings
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Location,barn,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Barn
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Mollie,"{'name': None, 'gender': None, 'role': None, 'description': 'foolish, pretty white mare', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mollie
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mr. Jones
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Object,trap,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",trap
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Object,sugar,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",sugar
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Object,mane,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",mane
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Object,ribbons,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",ribbons
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,cat,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",cat
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Major,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Major
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Person,Moses,"{'name': None, 'gender': None, 'role': None, 'description': 'tame raven', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Moses
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Location,back door,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",back door
7dd9453c-a6b0-4d14-919f-d4b6280f4e7c,Concept,dream,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",dream
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Person,Man,"{'name': None, 'gender': None, 'role': None, 'description': 'Creature that consumes without producing', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Man
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Person,Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Jones
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Person,Clover,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Clover
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Person,Boxer,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Object,milk,{},milk
77d41bb2-a31c-4bc8-b622-7bf030c1cdfb,Object,eggs,{},eggs
64d76ce2-9421-4848-9e63-6216043176b8,Person,Jones,{},Jones
64d76ce2-9421-4848-9e63-6216043176b8,Object,knacker,{},knacker
64d76ce2-9421-4848-9e63-6216043176b8,Object,foxhounds,{},foxhounds
64d76ce2-9421-4848-9e63-6216043176b8,Object,dogs,{},dogs
64d76ce2-9421-4848-9e63-6216043176b8,Person,Man,"{'name': None, 'gender': None, 'role': None, 'description': 'human beings', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Man
64d76ce2-9421-4848-9e63-6216043176b8,Concept,produce of our labour,{},produce of our labour
64d76ce2-9421-4848-9e63-6216043176b8,Event,Rebellion,{},rebellion
64d76ce2-9421-4848-9e63-6216043176b8,Concept,justice,{},justice
64d76ce2-9421-4848-9e63-6216043176b8,Person,Major,{},Major
64d76ce2-9421-4848-9e63-6216043176b8,Object,rats,{},rats
69738ad0-8ace-45c1-a275-387b45aec51b,Object,dogs,{},dogs
69738ad0-8ace-45c1-a275-387b45aec51b,Object,holes,{},holes
69738ad0-8ace-45c1-a275-387b45aec51b,Object,rats,{},rats
69738ad0-8ace-45c1-a275-387b45aec51b,Person,Major,"{'name': None, 'gender': None, 'role': None, 'description': 'pig', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Major
69738ad0-8ace-45c1-a275-387b45aec51b,Object,rabbits,{},rabbits
69738ad0-8ace-45c1-a275-387b45aec51b,Object,cat,{},cat
69738ad0-8ace-45c1-a275-387b45aec51b,Person,Man,{},Man
69738ad0-8ace-45c1-a275-387b45aec51b,Object,house,{},house
69738ad0-8ace-45c1-a275-387b45aec51b,Object,bed,{},bed
69738ad0-8ace-45c1-a275-387b45aec51b,Object,clothes,{},clothes
69738ad0-8ace-45c1-a275-387b45aec51b,Object,alcohol,{},alcohol
69738ad0-8ace-45c1-a275-387b45aec51b,Object,tobacco,{},tobacco
69738ad0-8ace-45c1-a275-387b45aec51b,Object,money,{},money
69738ad0-8ace-45c1-a275-387b45aec51b,Concept,trade,{},trade
69738ad0-8ace-45c1-a275-387b45aec51b,Concept,dream,{},dream
7b24a3c0-2683-4edf-ae2c-483b1e303298,Person,Old Major,"{'name': None, 'gender': None, 'role': 'Singer', 'description': 'An old pig', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Old Major
7b24a3c0-2683-4edf-ae2c-483b1e303298,Concept,Beasts of England,{},Beasts of England
7b24a3c0-2683-4edf-ae2c-483b1e303298,Location,England,{},England
7b24a3c0-2683-4edf-ae2c-483b1e303298,Person,Man,"{'name': None, 'gender': None, 'role': None, 'description': 'Tyrant', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Man
7b24a3c0-2683-4edf-ae2c-483b1e303298,Location,Ireland,{},Ireland
1db6f83d-5b8f-4a81-9aed-f53a7943566c,Person,Major,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Major
1db6f83d-5b8f-4a81-9aed-f53a7943566c,Location,England,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",England
1db6f83d-5b8f-4a81-9aed-f53a7943566c,Location,Ireland,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Ireland
1db6f83d-5b8f-4a81-9aed-f53a7943566c,Concept,freedom,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Freedom
1db6f83d-5b8f-4a81-9aed-f53a7943566c,Organization,farm,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",farm
ba636e2c-f06e-476b-9413-16eb2b531a8c,Person,Major,"{'name': None, 'gender': None, 'role': None, 'description': 'old', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Major
ba636e2c-f06e-476b-9413-16eb2b531a8c,Time,Three nights later,{},three nights later
ba636e2c-f06e-476b-9413-16eb2b531a8c,Location,the foot of the orchard,{},the foot of the orchard
ba636e2c-f06e-476b-9413-16eb2b531a8c,Time,early in March,{},early in March
ba636e2c-f06e-476b-9413-16eb2b531a8c,Time,the next three months,{},the next three months
ba636e2c-f06e-476b-9413-16eb2b531a8c,Concept,Rebellion,{},rebellion
ba636e2c-f06e-476b-9413-16eb2b531a8c,Location,the farm,{},the farm
ba636e2c-f06e-476b-9413-16eb2b531a8c,Event,death,"{'name': None, 'gender': None, 'role': None, 'description': 'Major died peacefully in his sleep', 'birthDate': None, 'deathDate': None, 'affiliation': None}",death
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Person,Snowball,"{'name': None, 'gender': None, 'role': 'Pig', 'description': 'A more vivacious pig than Napoleon, quicker in speech and more inventive, but was not considered to have the same depth of character.', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Snowball
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Person,Napoleon,"{'name': None, 'gender': None, 'role': 'Pig', 'description': 'A large, rather fierce-looking Berkshire boar, the only Berkshire on the farm, not much of a talker, but with a reputation for getting his own way.', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Napoleon
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': 'Farmer', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mr. Jones
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Person,Squealer,"{'name': None, 'gender': None, 'role': 'Pig', 'description': 'A small fat pig with very round cheeks, twinkling eyes, nimble movements, and a shrill voice. He was a brilliant talker', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Squealer
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Concept,Animalism,"{'name': None, 'gender': None, 'role': None, 'description': ""A complete system of thought elaborated from old Major's teachings"", 'birthDate': None, 'deathDate': None, 'affiliation': None}",Animalism
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Location,farm,{},farm
69a5a006-fdb6-49c0-95e1-d4a15426e7a6,Location,barn,{},Barn
1a577df6-6547-4397-9444-1765553d0f6c,Organization,Animalism,{},Animalism
1a577df6-6547-4397-9444-1765553d0f6c,Person,Mollie,"{'name': None, 'gender': None, 'role': None, 'description': 'white mare', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mollie
1a577df6-6547-4397-9444-1765553d0f6c,Person,Snowball,{},Snowball
1a577df6-6547-4397-9444-1765553d0f6c,Object,sugar,{},sugar
1a577df6-6547-4397-9444-1765553d0f6c,Location,farm,{},farm
1a577df6-6547-4397-9444-1765553d0f6c,Object,oats,{},oats
1a577df6-6547-4397-9444-1765553d0f6c,Object,hay,{},hay
1a577df6-6547-4397-9444-1765553d0f6c,Object,ribbons,{},ribbons
1a577df6-6547-4397-9444-1765553d0f6c,Person,Moses,"{'name': None, 'gender': None, 'role': None, 'description': 'tame raven', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Moses
1a577df6-6547-4397-9444-1765553d0f6c,Person,Mr. Jones,{},Mr. Jones
1a577df6-6547-4397-9444-1765553d0f6c,Location,Sugarcandy Mountain,"{'name': None, 'gender': None, 'role': None, 'description': 'mysterious country', 'birthDate': None, 'deathDate': None, 'affiliation': None}",Sugarcandy Mountain
1a577df6-6547-4397-9444-1765553d0f6c,Concept,liberty,{},liberty
1a577df6-6547-4397-9444-1765553d0f6c,Object,clover,{},Clover
1a577df6-6547-4397-9444-1765553d0f6c,Object,lump sugar,{},lump of sugar
1a577df6-6547-4397-9444-1765553d0f6c,Object,linseed cake,{},linseed cake
1a577df6-6547-4397-9444-1765553d0f6c,Person,pigs,{},pigs
9bbb21e2-2fa7-4e97-9672-632d18e78883,Person,Boxer,"{'name': None, 'gender': None, 'role': 'Disciple', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
9bbb21e2-2fa7-4e97-9672-632d18e78883,Person,Clover,"{'name': None, 'gender': None, 'role': 'Disciple', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Clover
9bbb21e2-2fa7-4e97-9672-632d18e78883,Person,pigs,"{'name': None, 'gender': None, 'role': 'Teachers', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",pigs
9bbb21e2-2fa7-4e97-9672-632d18e78883,Object,Beasts of England,{},Beasts of England
9bbb21e2-2fa7-4e97-9672-632d18e78883,Event,Rebellion,{},rebellion
9bbb21e2-2fa7-4e97-9672-632d18e78883,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': 'Farmer', 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mr. Jones
9bbb21e2-2fa7-4e97-9672-632d18e78883,Location,Windsor chair,{},Windsor chair
9bbb21e2-2fa7-4e97-9672-632d18e78883,Location,kitchen,{},kitchen
9bbb21e2-2fa7-4e97-9672-632d18e78883,Person,Moses,{},Moses
9bbb21e2-2fa7-4e97-9672-632d18e78883,Time,June,{},June
9bbb21e2-2fa7-4e97-9672-632d18e78883,Time,Midsummer's Eve,{},Midsummer's Eve
9bbb21e2-2fa7-4e97-9672-632d18e78883,Time,Saturday,{},Saturday
9bbb21e2-2fa7-4e97-9672-632d18e78883,Location,Willingdon,{},Willingdon
9bbb21e2-2fa7-4e97-9672-632d18e78883,Location,Red Lion,{},Red Lion
9bbb21e2-2fa7-4e97-9672-632d18e78883,Time,Sunday,{},Sunday
9bbb21e2-2fa7-4e97-9672-632d18e78883,Organization,cows,{},cows
9bbb21e2-2fa7-4e97-9672-632d18e78883,Location,drawing-room sofa,{},drawing-room sofa
9bbb21e2-2fa7-4e97-9672-632d18e78883,Object,News of the World,{},News of the World
c2b4c54d-f81d-47fb-a292-dce243a1db95,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mr. Jones
c2b4c54d-f81d-47fb-a292-dce243a1db95,Object,whips,{},whips
c2b4c54d-f81d-47fb-a292-dce243a1db95,Person,Mrs. Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mrs. Jones
c2b4c54d-f81d-47fb-a292-dce243a1db95,Location,farm,{},farm
c2b4c54d-f81d-47fb-a292-dce243a1db95,Event,Rebellion,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",rebellion
c2b4c54d-f81d-47fb-a292-dce243a1db95,Location,Manor Farm,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Manor Farm
c2b4c54d-f81d-47fb-a292-dce243a1db95,Person,Moses,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Moses
7c208a56-367a-485c-9053-16a2c63a7841,Person,Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Jones
7c208a56-367a-485c-9053-16a2c63a7841,Location,farm buildings,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",farm buildings
7c208a56-367a-485c-9053-16a2c63a7841,Location,harness-room,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",harness-room
7c208a56-367a-485c-9053-16a2c63a7841,Location,stables,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",stables
7c208a56-367a-485c-9053-16a2c63a7841,Object,bits,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",bits
7c208a56-367a-485c-9053-16a2c63a7841,Object,nose-rings,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",nose-rings
7c208a56-367a-485c-9053-16a2c63a7841,Object,dog-chains,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",dog-chains
7c208a56-367a-485c-9053-16a2c63a7841,Object,knives,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",knives
7c208a56-367a-485c-9053-16a2c63a7841,Person,Mr. Jones,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Mr. Jones
7c208a56-367a-485c-9053-16a2c63a7841,Object,pigs,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",pigs
7c208a56-367a-485c-9053-16a2c63a7841,Object,lambs,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",lambs
7c208a56-367a-485c-9053-16a2c63a7841,Location,well,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",well
7c208a56-367a-485c-9053-16a2c63a7841,Object,reins,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",reins
7c208a56-367a-485c-9053-16a2c63a7841,Object,halters,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",halters
7c208a56-367a-485c-9053-16a2c63a7841,Object,blinkers,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",blinkers
7c208a56-367a-485c-9053-16a2c63a7841,Object,nosebags,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",nosebags
7c208a56-367a-485c-9053-16a2c63a7841,Location,yard,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",yard
7c208a56-367a-485c-9053-16a2c63a7841,Object,whips,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",whips
7c208a56-367a-485c-9053-16a2c63a7841,Person,Snowball,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Snowball
7c208a56-367a-485c-9053-16a2c63a7841,Object,ribbons,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",ribbons
7c208a56-367a-485c-9053-16a2c63a7841,Object,horses' manes,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",horses' manes
7c208a56-367a-485c-9053-16a2c63a7841,Object,tails,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",tails
7c208a56-367a-485c-9053-16a2c63a7841,Time,market days,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",market days
7c208a56-367a-485c-9053-16a2c63a7841,Object,clothes,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",clothes
7c208a56-367a-485c-9053-16a2c63a7841,Person,Boxer,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
7c208a56-367a-485c-9053-16a2c63a7841,Object,small straw hat,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",small straw hat
7c208a56-367a-485c-9053-16a2c63a7841,Time,summer,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",summer
7c208a56-367a-485c-9053-16a2c63a7841,Person,Napoleon,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Napoleon
7c208a56-367a-485c-9053-16a2c63a7841,Location,store-shed,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",store-shed
7c208a56-367a-485c-9053-16a2c63a7841,Object,corn,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",corn
7c208a56-367a-485c-9053-16a2c63a7841,Object,biscuits,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",biscuits
7c208a56-367a-485c-9053-16a2c63a7841,Object,dogs,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",dogs
7c208a56-367a-485c-9053-16a2c63a7841,Object,Beasts of England,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Beasts of England
7c208a56-367a-485c-9053-16a2c63a7841,Time,the night,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",the night
7c208a56-367a-485c-9053-16a2c63a7841,Time,dawn,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",dawn
7c208a56-367a-485c-9053-16a2c63a7841,Location,pasture,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",pasture
ee8acae9-374f-4eeb-8e0f-980418b036a7,Location,farm,{},farm
ee8acae9-374f-4eeb-8e0f-980418b036a7,Person,Snowball,{},Snowball
ee8acae9-374f-4eeb-8e0f-980418b036a7,Person,Napoleon,{},Napoleon
ee8acae9-374f-4eeb-8e0f-980418b036a7,Location,farmhouse,{},farmhouse
ee8acae9-374f-4eeb-8e0f-980418b036a7,Person,Mollie,{},Mollie
ee8acae9-374f-4eeb-8e0f-980418b036a7,Person,Mrs. Jones,{},Mrs. Jones
ee8acae9-374f-4eeb-8e0f-980418b036a7,Object,blue ribbon,{},blue ribbon
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Location,kitchen,{},kitchen
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Object,barrel of beer,{},barrel of beer
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Location,scullery,{},scullery
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Person,Boxer,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Boxer
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Location,farmhouse,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",farmhouse
f6cdcc31-ccc4-4134-8651-fd2d718102c2,Person,Snowball,"{'name': None, 'gender': None, 'role': None, 'description': None, 'birthDate': None, 'deathDate': None, 'affiliation': None}",Snowball
